instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
504,19-05-2019,2,1,5,0,0,0,1,24.6,28.3454,45.625,5.626325,3410,4884,8294
680,11-11-2019,4,1,11,0,1,1,1,17.254153,21.08565,65.9167,8.5425,2290,4562,6852
241,29-08-2018,3,0,8,0,3,1,1,26.103347,30.3979,55.4583,10.708275,729,3905,4634
22,22-01-2018,1,0,1,0,1,1,1,2.4243464,3.95348,40.0,11.52199,93,888,981
57,26-02-2018,1,0,2,0,1,1,1,11.5825,14.1096,53.7917,12.500257,424,1545,1969
482,27-04-2019,2,1,4,0,6,0,1,18.7575,22.63185,40.0833,23.291411,1014,5219,6233
119,29-04-2018,2,0,4,0,0,0,1,20.91,24.87315,45.7083,16.084221,878,3717,4595
483,28-04-2019,2,1,4,0,0,0,2,15.443347,18.8752,48.9583,8.708325,1120,3100,4220
495,10-05-2019,2,1,5,0,5,1,1,20.739153,24.58915,55.2083,21.042221,1026,5546,6572
98,08-04-2018,2,0,4,0,0,0,2,13.769153,16.22395,83.625,15.208464,172,1299,1471
398,02-02-2019,1,1,2,0,6,0,2,16.365847,19.94855,67.2917,12.541529,190,3571,3761
448,24-03-2019,2,1,3,0,0,0,2,20.6025,24.33665,88.5417,12.916461,1033,2339,3372
184,03-07-2018,3,0,7,0,2,1,2,29.383347,33.42875,68.25,15.333486,2282,2367,4649
677,08-11-2019,4,1,11,0,5,1,1,14.439134,17.09455,33.3478,23.304945,340,4975,5315
156,05-06-2018,2,0,6,0,2,1,2,26.581653,30.8402,65.25,9.292364,1685,3221,4906
128,08-05-2018,2,0,5,0,2,1,1,21.661653,25.94665,63.1667,5.0007125,1401,2932,4333
620,12-09-2019,3,1,9,0,4,1,1,24.565847,28.50375,57.7083,8.833682,1050,6820,7870
514,29-05-2019,2,1,5,0,3,1,1,29.6225,33.6496,68.4583,19.7918,880,4863,5743
426,02-03-2019,1,1,3,0,6,0,2,14.486653,17.9921,65.7083,9.708568,246,2948,3194
50,19-02-2018,1,0,2,0,1,1,1,16.365847,19.5702,18.7917,34.000021,532,1103,1635
527,11-06-2019,2,1,6,0,2,1,2,29.554153,32.98605,58.7917,13.916771,1017,5647,6664
693,24-11-2019,4,1,11,0,0,0,1,11.411653,12.4371,40.4583,25.250357,532,1745,2277
685,16-11-2019,4,1,11,0,6,0,1,14.145,17.3602,52.4583,11.458675,484,5214,5698
203,22-07-2018,3,0,7,0,0,0,1,34.781653,42.0448,58.0417,8.9177,562,2825,3387
21,21-01-2018,1,0,1,0,0,0,1,7.2775,7.89165,45.7083,23.667214,75,1468,1543
661,23-10-2019,4,1,10,0,3,1,1,22.310847,26.5152,64.1667,6.3345686,841,6625,7466
215,03-08-2018,3,0,8,0,5,1,2,29.998347,33.99685,65.75,9.084061,467,3107,3574
150,30-05-2018,2,0,5,1,3,0,1,30.066653,33.5546,68.5,8.792075,1549,2549,4098
393,28-01-2019,1,1,1,0,1,1,1,12.949153,16.31895,54.3333,14.125543,775,3248,4023
